,Exploitation,Exposure,MissionImpact,SafetyImpact,Outcome
177,active,controlled,none,major,scheduled
178,active,controlled,none,hazardous,out-of-cycle
179,active,controlled,none,catastrophic,immediate
180,active,controlled,degraded,none,scheduled
181,active,controlled,degraded,minor,scheduled
182,active,controlled,degraded,major,out-of-cycle
183,active,controlled,degraded,hazardous,out-of-cycle
184,active,controlled,degraded,catastrophic,immediate
185,active,controlled,MEF crippled,none,scheduled
186,active,controlled,MEF crippled,minor,scheduled
187,active,controlled,MEF crippled,major,out-of-cycle
188,active,controlled,MEF crippled,hazardous,out-of-cycle
189,active,controlled,MEF crippled,catastrophic,immediate
190,active,controlled,MEF fail,none,out-of-cycle
191,active,controlled,MEF fail,minor,out-of-cycle
192,active,controlled,MEF fail,major,out-of-cycle
193,active,controlled,MEF fail,hazardous,immediate
194,active,controlled,MEF fail,catastrophic,immediate
195,active,controlled,mission fail,none,immediate
196,active,controlled,mission fail,minor,immediate
197,active,controlled,mission fail,major,immediate
198,active,controlled,mission fail,hazardous,immediate
199,active,controlled,mission fail,catastrophic,immediate
200,active,unavoidable,none,none,defer
201,active,unavoidable,none,minor,scheduled
202,active,unavoidable,none,major,out-of-cycle
203,active,unavoidable,none,hazardous,immediate
204,active,unavoidable,none,catastrophic,immediate
205,active,unavoidable,degraded,none,scheduled
206,active,unavoidable,degraded,minor,out-of-cycle
207,active,unavoidable,degraded,major,out-of-cycle
208,active,unavoidable,degraded,hazardous,immediate
209,active,unavoidable,degraded,catastrophic,immediate
210,active,unavoidable,MEF crippled,none,out-of-cycle
211,active,unavoidable,MEF crippled,minor,out-of-cycle
212,active,unavoidable,MEF crippled,major,out-of-cycle
213,active,unavoidable,MEF crippled,hazardous,immediate
214,active,unavoidable,MEF crippled,catastrophic,immediate
215,active,unavoidable,MEF fail,none,immediate
216,active,unavoidable,MEF fail,minor,immediate
217,active,unavoidable,MEF fail,major,immediate
218,active,unavoidable,MEF fail,hazardous,immediate
219,active,unavoidable,MEF fail,catastrophic,immediate
220,active,unavoidable,mission fail,none,immediate
221,active,unavoidable,mission fail,minor,immediate
222,active,unavoidable,mission fail,major,immediate
223,active,unavoidable,mission fail,hazardous,immediate
224,active,unavoidable,mission fail,catastrophic,immediate
